X,Y
499519,947940
500013,895239
499753,700580
500184,783974
500686,811392
501026,851932
502071,938373
500806,739058
500580,694681
498822,505635
503431,887667
505363,995983
501923,692034
505111,878231
504854,838875
508724,978285
501552,625146
507709,878055
509552,953544
507288,853038
505113,760113
500590,571209
510023,929946
507513,813083
509964,900924
502155,617985
510610,907990
508639,827929
508753,829864
514072,995223
512840,933449
513309,946198
502851,624224
513137,928525
510294,839468
510220,830638
499646,524763
512982,906229
508403,770987
511543,832268
512523,844133
515314,896111
507649,706787
513987,853783
511436,793863
519970,972308
519337,936514
513556,812431
518251,904027
514045,808816
523498,995079
521291,938828
508159,676734
510286,705909
511215,717492
516355,807265
518535,841379
523127,912971
518913,836140
523386,910720
506504,627820
505078,599048
529219,978747
526745,937088
523911,891252
527383,943748
525482,912826
514518,741260
524583,894938
521171,839377
529219,956554
516277,757214
517639,775189
512512,699884
532544,992236
504519,582886
516908,750142
531057,943910
527382,889783
516948,743379
523587,829145
523818,828283
516554,731086
521654,796856
510476,650459
509376,635976
522958,809103
512293,672166
522537,800717
528345,869654
516453,718641
520798,769091
518454,740248
539242,986832
528180,853129
505973,585192
539753,987573
525053,812040
523641,789846
534571,913384
538726,954543
541339,977522
540954,964797
542075,976011
537985,929190
544197,991752
527125,806553
529846,829150
542244,953370
535274,878748
535728,883140
546779,988268
527553,790865
529704,809576
526977,781943
517055,681574
531834,827604
519000,699641
531815,826155
523903,747014
519830,705839
542143,924431
513812,645888
528789,791358
510641,612736
541410,904688
519981,700030
551351,994960
526081,755343
538383,869458
543406,915515
505112,557896
523120,724286
517746,673235
551698,982401
529287,776991
518516,678835
547473,941748
509108,592596
544681,910772
518470,675210
530609,782702
533990,811197
552576,969182
542232,875048
526691,740348
537769,833992
550099,939552
523341,709668
523186,707940
509341,588999
538173,832191
526678,733085
538529,829099
541523,852670
559257,995544
550409,920098
543597,857479
547684,882190
528669,733021
540506,825331
546929,875253
519638,661473
562008,988783
553988,922329
550622,893982
564181,994265
543725,839302
542146,824061
522500,676762
502156,524247
549239,874161
552115,894734
530774,732214
542437,816168
548035,855751
560872,946822
544981,831785
561565,950262
534650,756733
544406,826316
554002,893711
559905,934930
559706,932265
543012,812047
552893,881514
548290,848642
564344,960078
548746,850188
513047,599187
551291,866071
569159,987158
543745,809514
527200,694420
561024,924943
552306,864588
531182,718349
531000,716967
570510,983267
525573,678804
558698,900425
555127,874728
563205,927977
516764,616131
555339,865513
558505,884176
531474,708203
508839,562923
571774,962029
577108,994167
578199,997701
577154,990420
572069,956937
532541,708325
558394,867818
560029,877716
579914,995280
560230,874514
552985,829133
547547,795732
528621,679683
543454,768280
575693,959231
583556,998966
570789,921337
576057,950891
571115,919676
567482,897865
568697,900340
565123,879591
552821,808303
575532,933457
529798,670707
535915,702533
573782,907872
561226,837827
552603,790893
571551,890187
544915,746766
584908,961226
544709,744819
567708,866733
555939,800932
543916,737330
592796,993017
580628,926488
541203,720453
575788,898831
516967,593127
555771,792368
593010,983115
595247,989748
561319,815437
520767,609546
597905,995978
577147,887334
595085,975839
591786,959296
535346,679558
597751,987381
550482,753510
505454,531805
578701,892134
567690,836533
588552,938373
572748,858733
587293,928939
573645,861201
599932,985897
591896,944090
601376,983098
516717,583418
582261,889764
597178,957377
518082,588875
584292,896929
560548,785731
568223,817849
567725,809349
584806,885343
584132,882293
606297,981099
557937,763062
583842,877808
559228,767869
610077,993325
600206,946946
584269,874710
605382,966558
588829,893278
540102,679505
610102,982443
608171,970835
561057,765369
598214,923708
560021,759765
551522,723302
588517,880480
506308,530630
605941,947928
556618,740350
529178,625701
618826,996311
585877,858180
547098,696753
