X,Y
506135,620619
506317,706454
506462,791218
506995,957951
507238,875447
507183,726783
508522,937301
507983,838970
508159,854680
509204,988614
509794,975285
509016,870244
509694,910027
510249,951930
508730,772851
510529,842333
510265,813444
508373,667853
512541,943731
512225,886261
512397,894535
509613,717109
513965,966315
514161,938135
512577,834572
509429,672236
514986,954996
514927,950346
510820,730392
515841,966688
510096,683615
515118,891420
512811,771271
514077,802764
515265,827706
511052,673655
515224,802042
509435,609653
517457,853438
508501,575837
507882,556483
522038,987103
516490,816823
514145,744771
513399,714328
516360,794082
510411,622416
515696,770258
521755,935874
512195,669923
515646,759354
523542,965858
519198,838342
513691,689731
523465,922066
517119,756507
526072,963247
526869,981113
515945,723855
522881,876850
524539,905421
515801,706274
527943,959699
530393,986700
528856,954197
519686,762850
529469,932570
521722,788476
523850,820961
532697,965635
533932,984877
529686,910479
529436,904206
512626,612794
514252,639600
527027,853474
522747,774176
535883,977727
519114,708291
526229,814650
523660,772448
514278,627072
520173,716860
538021,968145
536722,941155
514411,619309
540492,972797
526115,775488
534632,889677
537476,926296
528561,803442
540067,935905
545054,987312
539000,911131
535527,867042
524192,722948
532224,817710
519610,663296
540050,904228
534255,834834
541301,916193
521444,681638
545351,958961
544790,945838
542286,911740
510754,552828
545843,943529
546884,953077
509446,537599
539906,867033
545588,926578
535586,816020
542758,890371
547601,941172
536143,818758
543905,900061
552064,983922
551247,974563
514026,583813
535554,806696
527906,725755
546846,920383
533692,783721
543638,884886
526220,706531
546563,913320
546759,914236
539776,842628
552715,966708
554163,980270
518613,622268
548660,900245
520834,638557
525777,684660
521880,648100
540152,813119
530296,720854
515228,582719
559347,972881
562282,997740
547875,868010
520755,628998
558461,952845
515700,583631
533600,737767
552181,894402
558810,950720
557937,941393
558640,944572
565327,998018
556758,925248
564914,988855
562897,967742
551952,873141
567181,996041
540054,774598
562571,954340
554706,890472
559625,929221
554282,882961
568528,992937
552620,859452
525858,652696
557990,899276
555842,873860
571948,994287
526417,653077
554960,865203
517261,583759
555435,866677
560434,903145
542561,769155
550777,829179
556813,872774
569790,962627
514782,563371
563879,916954
553038,836571
565588,925608
570877,954664
573748,972758
562256,891055
552936,825161
570717,944620
522451,613020
516467,571278
527972,649014
536302,704596
576552,974456
543129,748981
512072,540812
552522,808053
581131,996737
537919,708744
536391,695152
580352,973765
571850,917747
545072,747887
558995,834847
547161,759871
538204,703195
565409,874188
583449,987536
561617,849461
577897,944620
541630,719423
527366,631567
559291,827108
552126,782479
554616,797547
544572,735973
562354,843355
585973,987013
588531,999641
576102,921561
556150,801550
584413,970512
582911,960655
588256,990267
550483,764919
580001,939479
583305,958996
588323,987710
558363,808987
578821,928777
561979,828525
586019,967786
586184,967681
548118,745187
512315,536670
585237,956695
546684,732940
555988,785380
577293,905183
580985,924536
572378,872749
533563,654640
591800,979138
575177,884140
584514,931121
589299,957136
567261,833934
594779,982646
560069,793455
552406,751192
581518,906287
569740,842845
593596,967487
516089,553875
512473,534446
576117,869457
544969,705188
550003,730276
592335,949605
538744,669985
532215,634037
585236,902998
602589,986317
581815,878784
561211,773990
531269,624483
533619,635787
588807,904974
573092,827202
584251,876622
606082,980181
578843,848916
585063,878670
592015,907714
592093,906356
579848,847418
609728,987054
598905,936177
595705,919846
572397,809144
581771,852549
582715,856424
533868,629558
586647,873122
573199,809326
596231,912702
604626,950202
573972,810321
590678,886473
589194,878326
592271,892277
541936,663108
612804,983729
561654,752090
601610,931708
590239,880239
531718,616131
555866,723029
595095,897852
580949,834064
551819,703858
545034,673016
538380,643460
568838,775452
588031,858640
599726,909602
560650,737792
610583,953743
612218,959490
507260,505743
603902,922426
590789,865047
620072,987414
594608,877497
600996,904508
620698,987874
566581,757466
610642,940314
579275,808034
597252,883342
618982,973878
591354,855528
554979,703620
607779,918810
541059,644308
573149,775917
566997,748505
610365,924309
628391,994376
558340,711198
620707,960199
548464,668134
598329,863060
550987,676984
609194,904958
576101,774220
588768,823683
625039,963740
610274,903745
588017,817023
583001,797374
614273,914605
635181,993404
534439,608317
600359,858262
516850,541426
580525,782303
542725,638724
556205,689469
607402,878358
579543,774297
588803,808744
630447,963248
638632,990194
592148,818118
570085,736710
549324,659599
559326,695604
623619,930688
596425,830971
619861,915278
602379,850428
632678,960235
591122,809330
612095,885395
609687,875622
602867,850012
600030,839237
616278,896697
623515,922430
580137,765749
622325,916162
589547,798784
577436,754817
604489,851061
513100,525485
557317,681962
609172,865450
645137,992412
635743,956056
610307,866275
603765,841146
624115,911745
629572,929659
608629,856871
618088,889485
574984,738700
617810,886073
549420,649183
647431,983664
557371,675032
599915,819175
514407,528786
621009,888898
651079,990417
631982,925784
634714,935009
642715,961842
640096,952495
604335,831058
625076,899510
612980,858464
552059,654263
610207,848209
518482,541901
587233,770028
612648,853252
651201,978755
649615,972889
633844,920659
577720,735689
601873,814372
574337,724103
610513,838948
650235,964488
651152,965683
569454,703677
659430,991797
584121,750097
572305,712162
648243,951889
567003,693275
585680,752283
546916,629712
642065,928940
528041,569731
591885,770424
576722,722495
611071,830359
659242,981082
626851,879246
654995,965159
629950,886939
634883,901742
600346,794134
561889,674163
640928,918629
587285,752040
661124,979923
636669,903375
648449,939060
621004,854381
630627,882139
540716,606037
662324,976140
589361,753275
594803,769431
586674,743742
657187,955021
620500,844685
585107,737400
627816,864804
604756,794446
558533,656333
610706,808207
614913,820303
674263,994175
654442,934188
631695,867138
669094,976179
666892,968687
612589,809985
649871,916984
660004,946185
654787,929748
597568,763496
641765,890379
647202,904968
618585,822946
647849,905739
681267,998072
680749,995848
555339,639455
640426,877933
568593,675808
638765,872212
670234,959191
645421,889138
654177,913379
680406,986395
642656,880562
640305,873481
661026,928892
666604,942260
623616,823703
599136,754660
566520,664986
638292,860066
676969,964702
654481,902600
647680,883874
656252,906222
667511,936367
564055,656915
647522,881321
618895,803816
591788,730799
581821,703778
628669,828900
590113,725244
597967,746057
594606,736923
642479,864685
630942,833782
569471,669047
662447,915184
583032,704368
583604,705371
672558,939321
621123,803764
570667,670262
646591,866943
610739,772338
674191,935471
669268,921111
635847,833216
664451,903572
701591,997963
526489,552410
695858,981380
664223,900320
633684,822360
630699,814364
623503,796195
692314,969062
550323,611664
669326,909926
657338,879343
679088,933178
683043,941109
580499,685494
563230,642584
641938,837974
606808,750694
590197,708759
548229,604172
552015,612935
694464,961156
658807,873974
708199,994632
669740,900430
582840,687771
709837,997266
601141,732137
678491,920446
615431,766622
634586,813090
655613,864050
691169,949758
607174,745917
580999,682226
634160,810710
671920,902076
676367,912486
663122,878974
697811,962407
659124,869115
655537,859776
641299,825266
526740,550211
692284,946316
669199,889625
663891,876869
704733,973516
706681,976466
643430,826199
641930,822215
656753,856470
699785,957833
657718,857177
649382,837531
700213,956903
636598,807298
710670,981185
709318,977326
